0
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU
117      *      0       1       1        1            0            0          "Seed Sphere (Earth)"                3       0         0            0          0           0             0              0               1200000    1       1       1       1       1       1
118      *      0       1       1        1            0            0          "Seed Sphere (Fire)"                 4       0         0            0          0           0             0              0               1275000    1       1       1       1       1       1
119      *      0       1       1        1            0            0          "Seed Sphere (Water)"                4       0         0            0          0           0             0              0               1275000    1       1       1       1       1       1
120      *      0       1       1        1            0            0          "Seed Sphere (Ice)"                  4       0         0            0          0           0             0              0               1275000    1       1       1       1       1       1
121      *      0       1       1        1            0            0          "Seed Sphere (Wind)"                 4       0         0            0          0           0             0              0               1275000    1       1       1       1       1       1
122      *      0       1       1        1            0            0          "Seed Sphere (Lightning)"            4       0         0            0          0           0             0              0               1275000    1       1       1       1       1       1
123      *      0       1       1        1            0            0          "Seed Sphere (Earth)"                4       0         0            0          0           0             0              0               1275000    1       1       1       1       1       1
124      *      0       1       1        1            0            0          "Seed Sphere (Fire)"                 5       0         0            0          0           0             0              0               1350000    1       1       1       1       1       1
125      *      0       1       1        1            0            0          "Seed Sphere (Water)"                5       0         0            0          0           0             0              0               1350000    1       1       1       1       1       1
126      *      0       1       1        1            0            0          "Seed Sphere (Ice)"                  5       0         0            0          0           0             0              0               1350000    1       1       1       1       1       1
127      *      0       1       1        1            0            0          "Seed Sphere (Wind)"                 5       0         0            0          0           0             0              0               1350000    1       1       1       1       1       1
128      *      0       1       1        1            0            0          "Seed Sphere (Lightning)"            5       0         0            0          0           0             0              0               1350000    1       1       1       1       1       1
129      *      0       1       1        1            0            0          "Seed Sphere (Earth)"                5       0         0            0          0           0             0              0               1350000    1       1       1       1       1       1
238      7      0       4       3        1            1            0          "Wings of Pure Angel"           	   350     220       220          215        0           0             0              0               0          2       0       0       1       0       0
239      7      0       4       3        1            1            0          "Wings of Mega Angel"           	   350     220       220          215        0           0             0              0               0          2       0       0       0       0       0
240      7      0       4       3        1            1            0          "Wings of Fairy Elf"           	   350     220       220          215        0           0             0              0               0          0       0       2       0       0       0
241      7      0       4       3        1            1            0          "Wings of Dark Satan"           	   350     220       220          215        0           0             0              0               0          0       2       0       0       0       0
242      7      0       4       3        1            1            0          "Wings of Phoenix"           	   350     220       220          215        0           0             0              0               0          2       2       0       0       0       0
243      7      0       4       3        1            1            0          "Wings of Night"           	   350     220       220          215        0           0             0              0               0          0       0       0       0       0       2
244      7      0       4       3        1            1            0          "Wings of Queem"           	   350     220       220          215        0           0             0              0               0          0       0       2       0       0       2
245      7      0       4       3        1            1            0          "Wings of Dragon Eye"           	   350     220       220          215        0           0             0              0               0          0       0       0       0       1       0
246      7      0       4       3        1            1            0          "Wings of Dark Storm"           	   350     220       220          215        0           0             0              0               0          0       2       0       1       0       0
247      7      0       4       3        1            1            0          "Wings of Eagle"           	   350     220       220          215        0           0             0              0               0          2       0       0       1       0       2
248      7      0       4       3        1            1            0          "Wings of Pegasus"           	   350     220       220          215        0           0             0              0               0          0       0       2       0       0       2
end

13
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   Durability   Resistance1   Resistance2   Resistance3   Resistance4   Resistance5   Resistance6   Resistance7   None   DW      DK      FE      MG      DL      SU
0        8      0       1       1        1            0            1          "Guardian Angel"                     23      255          0             0             0             0             0             0             0             0      1       1       1       1       1       1
1        8      0       1       1        1            0            1          "Imp"                                28      255          0             0             0             0             0             0             0             0      1       1       1       1       1       1
2        8      0       1       1        1            0            1          "Horn of Uniria"                     25      255          0             0             0             0             0             0             0             0      1       1       1       1       1       1
3        8      49      1       1        1            0            0          "Horn of Dinorant"                   110     255          0             0             0             0             0             0             0             0      1       1       1       1       1       1
4        8      62      1       1        1            0            0          "Dark Horse"                         218     255          0             0             0             0             0             0             0             0      0       0       0       0       1       0
5        1      0       1       1        1            0            0          "Dark Raven"                         0       255          0             0             0             0             0             0             0             0      0       0       0       0       1       0
7        *      0       1       1        1            0            0          "Contract (Summon)"                  0       255          0             0             0             0             0             0             0             0      1       1       1       1       1       1
8        10     0       1       1        1            1            1          "Ring of Ice"                        20      50           1             0             0             0             0             0             0             0      1       1       1       1       1       1
9        10     0       1       1        1            1            1          "Ring of Poison"                     17      50           0             1             0             0             0             0             0             0      1       1       1       1       1       1
10       10     0       1       1        1            0            0          "Transformation Ring"                0       200          0             0             0             0             0             0             0             0      1       1       1       1       1       1
11       *      0       1       1        1            0            0          "Order (Guardian/Life Stone)"        0       255          0             0             0             0             0             0             0             0      1       1       1       1       1       1
12       9      0       1       1        1            1            1          "Pendant of Lighting"                21      50           0             0             1             0             0             0             0             0      1       1       1       1       1       1
13       9      0       1       1        1            1            1          "Pendant of Fire"                    13      50           0             0             0             1             0             0             0             0      1       1       1       1       1       1
14       *      0       1       2        1            0            0          "Loch's Feather"                     78      0            0             0             0             0             0             0             0             0      1       1       1       1       1       1
15       *      0       1       1        1            0            0          "Fruits"                             0       0            0             0             0             0             0             0             0             0      1       1       1       1       1       1
16       *      0       1       2        1            0            0          "Scroll of Archangel"                0       128          0             0             0             0             0             0             0             0      1       1       1       1       1       1
17       *      0       1       2        1            0            0          "Blood Bone"                         0       128          0             0             0             0             0             0             0             0      1       1       1       1       1       1
18       *      0       2       2        1            0            0          "Invisibility Cloak"                 0       255          0             0             0             0             0             0             0             0      1       1       1       1       1       1
19       *      0       1       2        1            0            0          "Absolute Weapon of Archangel"       0       255          0             0             0             0             0             0             0             0      1       1       1       1       1       1
20       10     0       1       1        1            0            0          "Wizards Ring"                       0       30           0             0             0             0             0             0             0             0      1       1       1       1       1       1
21       10     0       1       1        1            1            1          "Ring of Fire"                       30      50           0             0             0             1             0             0             0             0      1       1       1       1       1       1
22       10     0       1       1        1            1            1          "Ring of Earth"                      38      50           0             0             0             0             1             0             0             0      1       1       1       1       1       1
23       10     0       1       1        1            1            1          "Ring of Wind"                       44      50           0             0             0             0             0             1             0             0      1       1       1       1       1       1
24       10     0       1       1        1            1            1          "Ring of Magic"                      47      50           0             0             0             0             0             0             0             0      1       1       1       1       1       1
25       9      0       1       1        1            1            1          "Pendant of Ice"                     34      50           1             0             0             0             0             0             0             0      1       1       1       1       1       1
26       9      0       1       1        1            1            1          "Pendant of Wind"                    42      50           0             0             0             0             0             1             0             0      1       1       1       1       1       1
27       9      0       1       1        1            1            1          "Pendant of Water"                   46      50           0             0             0             0             0             0             1             0      1       1       1       1       1       1
28       9      0       1       1        1            1            1          "Pendant of Ability"                 50      50           0             0             0             0             0             0             0             0      1       1       1       1       1       1
29       *      0       2       2        1            0            0          "Armor of Guardsman"                 0       0            0             0             0             0             0             0             0             0      1       1       1       1       1       1
30       7      0       2       3        1            0            0          "Cape of Lord"                       180     200          0             0             0             0             0             0             0             0      0       0       0       0       1       0
31       *      0       1       1        1            0            0          "Spirit"                             0       0            0             0             0             0             0             0             0             0      0       0       0       0       1       0
32       *      0       1       1        1            0            0          "Splinter of Armor"                  0       1            0             0             0             0             0             0             0             0      1       1       1       1       1       1
33       *      0       1       1        1            0            0          "Bless of Guardian"                  0       1            0             0             0             0             0             0             0             0      1       1       1       1       1       1
34       *      0       1       1        1            0            0          "Claw of Beast"                      0       1            0             0             0             0             0             0             0             0      1       1       1       1       1       1
35       *      0       1       1        1            0            0          "Fragment of Horn"                   0       1            0             0             0             0             0             0             0             0      1       1       1       1       1       1
36       *      0       2       2        1            0            0          "Broken Horn"                        0       1            0             0             0             0             0             0             0             0      1       1       1       1       1       1
37       8      0       2       2        1            0            0          "Horn of Fenrir"                     300     255          0             0             0             0             0             0             0             0      2       2       2       1       1       2
38       10     0       1       1        1            0            0          "Moonstone Pendant"                  21      120          0             0             0             0             0             0             0             0      1       1       1       1       1       1
39       10     0       1       1        1            0            0          "Eilte Transfer Skeleton Ring"       10      255          0             0             0             0             0             0             0             0      1       1       1       1       1       1
40       10     0       1       1        1            0            0          "Jack Olantern Ring"                 10      100          0             0             0             0             0             0             0             0      1       1       1       1       1       1
41       10     0       1       1        1            0            0          "Transfer Christmas Ring"            1       100          0             0             0             0             0             0             0             0      1       1       1       1       1       1
42       10     0       1       1        1            0            0          "Ring of GM"                         0       255          255           255           255           255           255           255           255           0      1       1       1       1       1       1
43       10     0       1       1        1            0            0          "Seal of Ascension"                  0       0            0             0             0             0             0             0             0             0      1       1       1       1       1       1
44       10     0       1       1        1            0            0          "Seal of Wealth"                     0       0            0             0             0             0             0             0             0             0      1       1       1       1       1       1
45       10     0       1       1        1            0            0          "Seal of Sustenance"                 0       0            0             0             0             0             0             0             0             0      1       1       1       1       1       1
46       *      0       1       1        1            0            0          "Devil Square Ticket"                0       10           0             0             0             0             0             0             0             0      1       1       1       1       1       1
47       *      0       1       1        1            0            0          "Blood Castle Ticket"                0       10           0             0             0             0             0             0             0             0      1       1       1       1       1       1
48       *      0       1       1        1            0            0          "Kalima Ticket"                      0       10           0             0             0             0             0             0             0             0      1       1       1       1       1       1
49       *      0       1       1        1            0            0          "Old Scroll"                         0       0            0             0             0             0             0             0             0             0      1       1       1       1       1       1
50       *      0       1       2        1            0            0          "Illusion Sorcerer Covenant"         0       0            0             0             0             0             0             0             0             0      1       1       1       1       1       1
51       *      0       2       2        1            0            0          "Scroll of Blood"                    0       1            0             0             0             0             0             0             0             0      1       1       1       1       1       1
52       *      0       1       2        1            0            0          "Condor Flame"                       0       0            0             0             0             0             0             0             0             0      1       1       1       1       1       1
53       *      0       1       2        1            0            0          "Condor Feather"                     0       0            0             0             0             0             0             0             0             0      1       1       1       1       1       1
54       *      0       1       1        1            0            0          "Reset Fruit Strength"               0       0            0             0             0             0             0             0             0             0      1       1       1       1       1       1
55       *      0       1       1        1            0            0          "Reset Fruit Quickness"              0       100          0             0             0             0             0             0             0             0      1       1       1       1       1       1
56       *      0       1       1        1            0            0          "Reset Fruit Health"                 0       100          0             0             0             0             0             0             0             0      1       1       1       1       1       1
57       *      0       1       1        1            0            0          "Reset Fruit Energy"                 0       100          0             0             0             0             0             0             0             0      1       1       1       1       1       1
58       *      0       1       1        1            0            0          "Reset Fruit Control"                0       100          0             0             0             0             0             0             0             0      1       1       1       1       1       1
59       *      0       1       1        1            0            0          "Seal of Mobility"                   0       0            0             0             0             0             0             0             0             0      1       1       1       1       1       1
60       *      0       1       2        1            0            0          "Indulgence"                         0       0            0             0             0             0             0             0             0             0      1       1       1       1       1       1
61       *      0       1       1        1            0            0          "Illusion Temple Ticket"             0       10           0             0             0             0             0             0             0             0      1       1       1       1       1       1
62       *      0       1       1        1            0            0          "Seal of Healing"                    0       0            0             0             0             0             0             0             0             0      1       1       1       1       1       1
63       *      0       1       1        1            0            0          "Seal of Divinity"                   0       0            0             0             0             0             0             0             0             0      1       1       1       1       1       1
64       8      0       1       1        1            0            0          "Demon"                              28      255          0             0             0             0             0             0             0             0      1       1       1       1       1       1
65       8      0       1       1        1            0            0          "Spirit of Guardian"                 28      255          0             0             0             0             0             0             0             0      1       1       1       1       1       1
66       *      0       1       1        1            0            0          "Invitation to Santa Village"        0       10           0             0             0             0             0             0             0             0      1       1       1       1       1       1
67       8      0       1       1        1            0            0          "Pet Rudolf"                         28      255          0             0             0             0             0             0             0             0      1       1       1       1       1       1
68       10     0       1       1        1            0            0          "Snowman Transformation Ring"        10      100          0             0             0             0             0             0             0             0      1       1       1       1       1       1
69       *      0       1       1        1            0            0          "Talisman of Resurrection"           0       0            0             0             0             0             0             0             0             0      1       1       1       1       1       1
70       *      0       1       1        1            0            0          "Talisman of Mobility"               0       2            0             0             0             0             0             0             0             0      1       1       1       1       1       1
71       8      0       2       3        1            0            0          "Sword/Mace/Spear"                   0       255          0             0             0             0             0             0             0             0      1       1       1       1       1       1
72       8      0       2       3        1            0            0          "Staff"                              0       255          0             0             0             0             0             0             0             0      1       1       1       1       1       1
73       8      0       2       3        1            0            0          "Bow/Crossbow"                       0       255          0             0             0             0             0             0             0             0      1       1       1       1       1       1
74       8      0       2       3        1            0            0          "Scepter"                            0       255          0             0             0             0             0             0             0             0      1       1       1       1       1       1
75       8      0       2       3        1            0            0          "Stick"                              0       255          0             0             0             0             0             0             0             0      1       1       1       1       1       1
end

14
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Value   Level
0        *      0       1       1        1            0            1          "Apple"                              5       1
1        *      0       1       1        1            0            1          "Small Healing Potion"               10      10
2        *      0       1       1        1            0            1          "Healing Potion"                     20      25
3        *      0       1       1        1            0            1          "Large Healing Potion"               30      40
4        *      0       1       1        1            0            1          "Small Mana Potion"                  10      10
5        *      0       1       1        1            0            1          "Mana Potion"                        20      25
6        *      0       1       1        1            0            1          "Large Mana Potion"                  30      40
7        *      0       1       1        1            0            0          "Siege Potion"                       30      0
8        *      0       1       1        1            0            1          "Antidote"                           10      10
9        *      0       1       2        1            0            1          "Ale"                                30      15
10       *      0       1       2        1            0            1          "Town Portal Scroll"                 30      30
11       *      0       1       1        1            0            0          "Box of Luck"                        0       0
12       *      0       1       1        1            0            0          "Heart"                              0       0
13       *      0       1       1        1            0            0          "Jewel of Bless"                     150     25
14       *      0       1       1        1            0            0          "Jewel of Soul"                      150     30
15       *      0       1       1        0            0            0          "Zen"                                0       0
16       *      0       1       1        1            0            0          "Jewel of Life"                      0       72
17       *      0       1       1        1            0            0          "Devil's Eye"                        0       1
18       *      0       1       1        1            0            0          "Devil's Key"                        0       1
19       *      0       1       1        1            0            0          "Devil's Invitation"                 0       0
20       *      0       1       1        1            0            0          "Remedy of Love"                     0       0
21       *      0       1       1        1            0            0          "Rena"                               0       0
22       *      0       1       1        1            0            0          "Jewel of Creation"                  0       78
23       *      0       1       1        1            0            0          "Scroll of the Emperor"              0       0
24       *      0       1       2        1            0            0          "Broken Sword"                       0       0
25       *      0       1       1        1            0            0          "Tear of Elf"                        0       0
26       *      0       1       1        1            0            0          "Soul Shard of Wizard"               0       0
28       *      0       1       1        1            0            0          "Lost Map"                           0       0
29       *      0       1       1        1            0            0          "Symbol of Kundun"                   0       0
31       *      0       1       1        1            0            0          "Jewel of Guardian"                  75      0
32       *      0       1       1        1            0            0          "Pink Chocolate Box"                 0       0
33       *      0       1       1        1            0            0          "Red Chocolate Box"                  0       0
34       *      0       1       1        1            0            0          "Blue Chocolate Box"                 0       0
35       *      0       1       1        1            0            1          "Small SD Potion"                    50      0
36       *      0       1       1        1            0            1          "SD Potion"                          80      0
37       *      0       1       1        1            0            1          "Large SD Potion"                    100     0
38       *      0       1       1        1            0            1          "Small Complex Potion"               20      68
39       *      0       1       1        1            0            1          "Complex Potion"                     40      96
40       *      0       1       1        1            0            1          "Large Complex Potion"               60      118
41       *      0       1       1        1            0            0          "Gemstone"                           150     25
42       *      0       1       1        1            0            0          "Jewel of Harmony"                   150     25
43       *      0       1       1        1            0            0          "Lower refining stone"               150     25
44       *      0       1       1        1            0            0          "Higher refining stone"              150     25
45       *      0       1       1        1            0            0          "Pumpkin of Luck"                    0       1
46       *      0       1       2        1            0            0          "Jack O'Lantern Blessings"           0       0
47       *      0       1       2        1            0            0          "Jack O'Lantern Wrath"               0       0
48       *      0       1       2        1            0            0          "Jack O'Lantern Cry"                 0       0
49       *      0       1       1        1            0            0          "Jack O'Lantern Food"                0       0
50       *      0       1       1        1            0            0          "Jack O'Lantern Drink"               0       0
51       *      0       1       1        1            0            0          "Chistmas Star"                      0       0
52       *      0       1       1        1            0            0          "GM Gift"                            0       0
53       *      0       1       1        1            0            0          "Talisman of Luck"                   0       0
54       *      0       1       1        1            0            0          "Chaos Card"                         0       0
55       *      0       1       1        1            0            0          "Green Chaos Box"                    0       0
56       *      0       1       1        1            0            0          "Red Chaos Box"                      0       0
57       *      0       1       1        1            0            0          "Purple Chaos Box"                   0       0
58       *      0       1       1        1            0            0          "Rare Item Ticket1"                  0       0
59       *      0       1       1        1            0            0          "Rare Item Ticket2"                  0       0
60       *      0       1       1        1            0            0          "Rare Item Ticket3"                  0       0
61       *      0       1       1        1            0            0          "Rare Item Ticket4"                  0       0
62       *      0       1       1        1            0            0          "Rare Item Ticket5"                  0       0
63       *      0       1       1        1            0            0          "Firecracker"                        0       0
64       *      0       1       1        1            0            0          "Cursed Castle Water"                0       0
65       *      0       1       1        1            0            0          "Death-beam Knight Flame"            0       0
66       *      0       1       2        1            0            0          "Hell-Miner Horn"                    0       0
67       *      0       1       2        1            0            0          "Dark Phoenix Feather"               0       0
68       *      0       1       2        1            0            0          "Abyssal Eye"                        0       0
70       *      0       1       1        1            0            0          "Elite Healing Potion"               0       0
71       *      0       1       1        1            0            0          "Elite Mana Potion"                  0       0
72       *      0       2       2        1            0            0          "Scroll of Quickness"                0       0
73       *      0       2       2        1            0            0          "Scroll of Defense"                  0       0
74       *      0       2       2        1            0            0          "Scroll of Wrath"                    0       0
75       *      0       2       2        1            0            0          "Scroll of Wizardry"                 0       0
76       *      0       2       2        1            0            0          "Scroll of Health"                   0       0
77       *      0       2       2        1            0            0          "Scroll of Mana"                     0       0
78       *      0       1       2        1            0            0          "Elixir of Strength"                 0       0
79       *      0       1       2        1            0            0          "Elixir of Agility"                  0       0
80       *      0       1       2        1            0            0          "Elixir of Health"                   0       0
81       *      0       1       2        1            0            0          "Elixir of Energy"                   0       0
82       *      0       1       2        1            0            0          "Elixir of Control"                  0       0
83       *      0       1       1        1            0            0          "Rare Item Ticket"                   0       0
84       *      0       1       1        1            0            0          "Cherry Blossom Play-Box"            0       0
85       *      0       1       2        1            0            0          "Cherry Blossom Wine"                0       0
86       *      0       1       1        1            0            0          "Cherry Blossom Rice Cake"           0       0
87       *      0       1       1        1            0            0          "Cherry Blossom Flower Petal"        0       0
88       *      0       1       2        1            0            0          "White Cherry Blossom Branch"        0       0
89       *      0       1       2        1            0            0          "Red Cherry Blossom Branch"          0       0
90       *      0       1       2        1            0            0          "Golden Cherry Blossom Branch"       0       0
91       *      0       1       1        1            0            0          "Summoner Character Card"            0       0
92       *      0       1       1        1            0            0          "Chaos Card Gold"                    0       0
93       *      0       1       1        1            0            0          "Chaos Card Rare"                    0       0
94       *      0       1       1        1            0            0          "Medium Elite Healing Potion"        0       0
95       *      0       1       1        1            0            0          "Chaos Card  Mini"                   0       0
96       *      0       1       1        1            0            0          "Talisman of Chaos Assembly"         0       0
97       *      0       2       2        1            0            0          "Scroll of Battle"                   0       0
98       *      0       2       2        1            0            0          "Scroll of Strength"                 0       0
99       *      0       1       1        1            0            0          "Christmas Firecracker"              0       0
100      *      0       1       1        1            0            0          "Lucky Coin"                         0       0
//=====================================
// Custom Jewel
//=====================================
244	*	0	1	1	1		0	   0	      "Jewel Of Level"			   0	   0
245	*	0	1	1	1		0	   0	      "Jewel Of Skill"		           0	   0
246	*	0	1	1	1		0	   0	      "Jewel Of Luck"		           0	   0
247	*	0	1	1	1		0	   0	      "Jewel Of Adicional"		   0	   0
248	*	0	1	1	1		0	   0	      "Jewel Of Excelentt"		   0	   0
249	*	0	1	1	1		0	   0	      "Jewel Of Socket"		           0	   0
250	*	0	1	1	1		0	   0 	      "Jewel Of Ancient 1"		   0	   0
251	*	0	1	1	1		0	   0	      "Jewel Of Ancient 2"		   0	   0
252	*	0	1	1	1		0	   0	      "Jewel Of full"		           0	   0
end

15
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   ReqLevel   ReqEnergy   BuyMoney   DW      DK      FE      MG      DL      SU
0        *      0       1       2        1            0            1          "Scroll of Poison"                   30      0          100         17000      1       0       0       1       0       0
1        *      0       1       2        1            0            1          "Scroll of Meteorite"                21      0          100         11000      1       0       0       1       0       1
2        *      0       1       2        1            0            1          "Scroll of Lighting"                 13      0          100         3000       1       0       0       1       0       0
3        *      0       1       2        1            0            1          "Scroll of Fire Ball"                5       0          100         300        1       0       0       1       0       1
4        *      0       1       2        1            0            1          "Scroll of Flame"                    35      0          100         21000      1       0       0       1       0       0
5        *      0       1       2        1            0            1          "Scroll of Teleport"                 17      0          100         5000       1       0       0       0       0       0
6        *      0       1       2        1            0            1          "Scroll of Ice"                      25      0          100         14000      1       0       0       1       0       1
7        *      0       1       2        1            0            1          "Scroll of Twister"                  40      0          100         25000      1       0       0       1       0       0
8        *      0       1       2        1            0            1          "Scroll of Evil Spirit"              50      0          100         35000      1       0       0       1       0       0
9        *      0       1       2        1            0            1          "Scroll of Hellfire"                 60      0          100         60000      1       0       0       1       0       0
10       *      0       1       2        1            0            1          "Scroll of Power Wave"               9       0          100         1150       1       0       0       1       0       1
11       *      0       1       2        1            0            1          "Scroll of Aqua Beam"                74      0          110         100000     1       0       0       1       0       0
12       *      0       1       2        1            0            1          "Scroll of Cometfall"                80      0          150         175000     1       0       0       1       0       0
13       *      0       1       2        1            0            1          "Scroll of Inferno"                  88      0          200         265000     1       0       0       1       0       0
14       *      0       1       2        1            0            1          "Scroll of Teleport Ally"            83      0          188         245000     2       0       0       0       0       0
15       *      0       1       2        1            0            1          "Scroll of Soul Barrier"             77      0          126         135000     1       0       0       0       0       0
16       *      0       1       2        1            0            1          "Scroll of Decay"                    96      0          243         345000     2       0       0       0       0       0
17       *      0       1       2        1            0            1          "Scroll of Ice Storm"                93      0          223         315000     2       0       0       0       0       0
18       *      0       1       2        1            0            1          "Scroll of Nova"                     100     0          258         410000     2       0       0       0       0       0
19       *      0       1       2        1            0            1          "Chain Lightning Parchment"          75      0          75          175000     0       0       0       0       0       1
